epoch,train_loss,val_loss,val_dice,val_iou
1.0,3.1867,2.8566,0.3914,0.2561
2.0,2.7126,2.3141,0.5958,0.4492
3.0,2.2943,2.1038,0.666,0.5253
4.0,2.097,2.0632,0.6657,0.538
5.0,1.9544,1.9452,0.703,0.5797
6.0,1.8329,1.8483,0.7295,0.6139
7.0,1.7654,1.7877,0.7527,0.6384
8.0,1.6973,1.7169,0.7804,0.6709
9.0,1.6698,1.7034,0.7849,0.6781
10.0,1.6579,1.673,0.7964,0.697
11.0,1.624,1.6778,0.7907,0.6962
12.0,1.6054,1.6542,0.8021,0.7044
13.0,1.6017,1.618,0.8175,0.7269
14.0,1.5741,1.5978,0.8257,0.7347
15.0,1.5788,1.5785,0.8319,0.7412
16.0,1.5446,1.5627,0.8389,0.7517
17.0,1.5341,1.5616,0.8394,0.7552
18.0,1.5321,1.5721,0.835,0.7494
19.0,1.5261,1.5825,0.8283,0.7442
20.0,1.5133,1.5579,0.8386,0.7601
21.0,1.4973,1.5418,0.8459,0.7662
22.0,1.4928,1.5466,0.8433,0.7635
23.0,1.4868,1.5334,0.8483,0.7696
24.0,1.4752,1.5665,0.8352,0.7527
25.0,1.4676,1.5408,0.8438,0.7652
26.0,1.4574,1.5323,0.8491,0.7709
27.0,1.4668,1.5073,0.8572,0.7833
28.0,1.455,1.4935,0.8634,0.7869
29.0,1.4605,1.5437,0.8432,0.7674
30.0,1.4534,1.5121,0.8569,0.7796
31.0,1.446,1.5039,0.8584,0.7855
32.0,1.4328,1.5338,0.8461,0.77
33.0,1.4287,1.4951,0.8637,0.789
34.0,1.4419,1.5031,0.8581,0.7853
35.0,1.4221,1.4975,0.8616,0.7889
36.0,1.4234,1.5009,0.8594,0.787
37.0,1.429,1.5124,0.8532,0.7816
38.0,1.4113,1.4875,0.863,0.7902
39.0,1.409,1.4982,0.8598,0.7865
40.0,1.4082,1.4915,0.8616,0.7903
41.0,1.407,1.4915,0.862,0.7912
42.0,1.395,1.4923,0.8622,0.7884
43.0,1.4119,1.4833,0.8664,0.7938
44.0,1.3985,1.4882,0.8653,0.7917
45.0,1.3906,1.4907,0.8627,0.7894
46.0,1.3863,1.4815,0.8663,0.7928
47.0,1.3873,1.47,0.8703,0.7981
48.0,1.391,1.4965,0.8602,0.7849
49.0,1.386,1.4849,0.8648,0.7924
50.0,1.3867,1.4796,0.8663,0.7935
51.0,1.3732,1.4681,0.8701,0.7979
52.0,1.376,1.4835,0.8648,0.7947
53.0,1.3736,1.4819,0.8657,0.7934
